ORG_EIN,ORG_NAME,STREET,CITY,STATE,ZIP,NTEE_CD,SORT_NAME
043238043,FRIDAY NIGHT SUPPER PROGRAM INC,351 BOYLSTON ST,BOSTON,MA,02116-3303,K30Z,NA
043255009,O F T INC,PO BOX 916,MARLBOROUGH,MA,01752-0916,K31,OUR FATHERS TABLE
043261186,COMMUNITY FARMS OUTREACH,240 BEAVER ST,WALTHAM,MA,02452-8022,K20,WALTHAM FIELDS COMMUNITY FARM
043272663,FRANKLIN FOOD PANTRY INCORPORATED,341 W CENTRAL ST,FRANKLIN,MA,02038-1832,P20Z,NA
043276552,MARBLEHEAD FOOD PANTRY INC,80 ATLANTIC AVENUE,MARBLEHEAD,MA,01945-3069,K31,NA
043280846,TEWKSBURY COMMUNITY PANTRY INC,999 WHIPPLE RD,TEWKSBURY,MA,01876-3756,P20Z,NA
043295061,CAPE MINISTRY INC,155 WINTER ST,HYANNIS,MA,02601-5555,K30,NA
043296418,WACHUSETT FOOD PANTRY INC,PO BOX 62,JEFFERSON,MA,01522-0062,K31,NA
043338801,ISLAMIC MULTI-SERVICE ORGANIZATION INC,722 SHAWMUT AVE # 724,ROXBURY,MA,02119-2030,K31,NA
043342254,NORTHPORT FOOD PANTRY INC,PO BOX 27,LINCOLNVILLE,ME,04849-0027,K31,NA
043380230,SOUP KITCHEN IN PROVINCETOWN INC,PO BOX 538,PROVINCETOWN,MA,02657-0538,K30,NA
043386904,MEALS & WHEELS OF GREATER SPRINGFIELD INC,139 MAIN ST,SPRINGFIELD,VT,05156-3509,K36,NA
043423864,NORTHBOROUGH FOOD PANTRY,37 PIERCE ST,NORTHBOROUGH,MA,01532-1935,P20,NA
043424018,COMMUNITY HARVEST PROJECT INC,37 WHEELER RD,NORTH GRAFTON,MA,01536-1104,K20,NA
043466961,BRAINTREE FOOD PANTRY INC,PO BOX 850043,BRAINTREE,MA,02185-0043,K31,NA
043480485,WESTMINSTER COMMUNITY FOOD PANTRY INC,PO BOX 477,WESTMINSTER,MA,01473-0477,P20,NA
043491750,PEOPLE PANTRY INC,5 TACONIC AVE,GT BARRINGTON,MA,01230-1709,K30,NA
043553652,JAMES AND ROBERT CONNORS SCHOLARSHIP FOUNDATION INC,30 VALLEY RD,DANVERS,MA,01923-1208,K12,NA
043560710,CUPBOARD OF KINDNESS INC,120 MANSFIELD AVE,NORTON,MA,02766-2224,K31,NA
043567679,EASTERN STATES EXPOSITION FOUNDATION INC,1305 MEMORIAL AVENUE,WEST SPRINGFIELD,MA,01089-3578,K12,NA
043586036,HOUSE OF COMPLETION COMMUNITY DEVELOPMENT CORPORATION INC,9424 226TH ST,S FLORAL PARK,NY,11001-3803,K31,NA
043607322,CULTIVATING COMMUNITY,PO BOX 3792,PORTLAND,ME,04104-3792,K30,NA
043613483,KEYPORT MINISTERIUM FOOD PANTRY INC,PO BOX 35,KEYPORT,NJ,07735-0035,K31,NA
043731340,TOMCHEI SHABBOS DLAKEWOOD INC,212 2ND ST,LAKEWOOD,NJ,08701-3424,K31,FAMILY FOOD RELIEF OF NEW JERSEY
043746379,ACADIA COMMUNITY ASSOCIATION,PO BOX 28,BAR HARBOR,ME,04609-0028,K36,NA
050340723,MEALS ON WHEELS OF RI INC,70 BATH ST,PROVIDENCE,RI,02908-4849,K36,NA
050348804,QUONOCHONTAUG EAST BEACH ASSOCIATION WATER CORP,150 MIDLAND RD,CHARLESTOWN,RI,02813-1209,K20,NA
050395601,RHODE ISLAND COMMUNITY FOOD BANK ASSOCIATION,200 NIANTIC AVE,PROVIDENCE,RI,02907-3150,K31Z,NA
050432680,CITY MEAL SITE INC,674 WESTMINSTER ST,PROVIDENCE,RI,02903-4066,K30,NA
050458477,CAMP STREET COMMUNITY MINISTRIES INC,194 CAMP ST,PROVIDENCE,RI,02906-1836,K31,NA
050460226,BLACKSTONE VALLEY EMERGENCY FOOD CENTER INC,75 BENEFIT ST,PAWTUCKET,RI,02861-1022,K30Z,NA
050587278,BRATTLEBORO SENIOR MEALS INC,207 MAIN ST,BRATTLEBORO,VT,05301-2842,K30,NA
060669377,NEW HAVEN COUNTY FARM BUREAU INC,1355 BOSTON POST RD,GUILFORD,CT,06437-2318,K20,NA
060860153,H O P E PARTNERS OF FARMINGTON,321 NEW BRITAIN AVE,UNIONVILLE,CT,06085-1224,K36Z,NA
060891737,WINDHAM COUNTY AGRICULTURAL SOCIETY,PO BOX 410,BROOKLYN,CT,06234-0410,K20,NA
060922620,HUNGER AND HOMELESSNESS ACTION PROJECT,67 HIGH ST,NEW HAVEN,CT,06511-8963,K30,NA
060964502,MEALS ON WHEELS OF WILTON INC,PO BOX 125,WILTON,CT,06897-0125,K36Z,NA
060991880,HARTFORD FOOD SYSTEM INC,190 WETHERSFIELD AVE,HARTFORD,CT,06114-1113,K30Z,NA
061000327,HEBRON LIONS AGRICULTURAL SOCIETY INC,347 GILEAD ST,HEBRON,CT,06248-1313,K20,NA
061152682,DAILY BREAD - AN ECUMENICAL FOOD PANTRY INC,125 PARK AVE,DANBURY,CT,06810-7504,K31Z,NA
061232902,BREAD FOR LIFE INC,PO BOX 925,SOUTHINGTON,CT,06489-0925,K31,NA
061286474,NEW LONDON AREA FOOD PANTRY,110 GARFIELD AVE,NEW LONDON,CT,06320-5107,P20,NA
061327533,ENFIELD FOOD SHELF INC,786 ENFIELD ST STE 7,ENFIELD,CT,06082-2975,K30Z,GERALD WILSON
061346141,OPEN DOOR INC,PO BOX 57,WINSTED,CT,06098-0057,K36,NA
061352528,FRIEND TO FRIEND INC,PO BOX 631,EAST GRANBY,CT,06026-0631,K31,NA
061367121,GOSHEN ECUMENICAL PANTRY INC,33 PARK PL,GOSHEN,NY,10924-2108,P99Z,NA
061440531,EMERGE INC,PO BOX 1190,STRATFORD,CT,06615-8690,K30,NA
061446190,PLAINVILLE COMMUNITY PANTRY INC,PO BOX 233,PLAINVILLE,CT,06062-0233,P20Z,NA
061477166,NORTHEAST ORGANIC FARMERS ASSOCIATION OF CONNECTICUT INC,358 SPRINGSIDE AVE,NEW HAVEN,CT,06515-1024,K20,NOFA CT
061516433,SHRI TRIMURTI BHAVAN INC,10118 97TH AVE,OZONE PARK,NY,11416-1705,K99,NA
061518692,GREENWOOD LAKE FOOD PANTRY INC,PO BOX 1805,GREENWOOD LK,NY,10925-1805,K31,NA
061553795,EAST HAMPTON VOLUNTEER FOOD BANK INC,43 W HIGH ST,EAST HAMPTON,CT,06424-1024,K31,NA
061587623,INTERFAITH HUMAN SERVICES OF PUTNAM INC,53 GROVE ST,PUTNAM,CT,06260-2109,K31,NA
061798430,HEAVENS HELPERS FOOD PANTRY & SOUP KITCHEN,393 PEARL ST,WOODBRIDGE,NJ,07095-2905,K30,NA
061827129,UGANDA FARMERS INC,31 CHERRY ST APT 109,MILFORD,CT,06460-3465,K12,NA
112021381,DIOCESAN FOOD SERVICE ROMAN CATHOLIC DIOCESE OF BROOKLYN INC,7200 DOUGLASTON PKWY,DOUGLASTON,NY,11362-1941,K30,NA
112676892,INTERFAITH NUTRITION NETWORK,211 FULTON AVENUE,HEMPSTEAD,NY,11550-3942,K30Z,NA
112678581,THREE VILLAGE MEALS ON WHEELS INC,216 CHRISTIAN AVE,STONY BROOK,NY,11790-1232,K36Z,NA
112679771,GREEK AMERICAN HOME OWNERS OF NEW YORK INC,2349 31ST ST,ASTORIA,NY,11105-2809,K30,NA
112725555,SMITHTOWN TOWNSHIP EMERGENCY FOOD PANTRY,90 EDGEWATER AVE,SMITHTOWN,NY,11787-3467,K31,NA
113057059,THE CHESTENE M COVERDALE FOOD PANTRY INC,FOOD PANTRY,SAYVILLE,NY,11782-0000,K31,NA
113136350,ISLAND HARVEST LTD,126 SPAGNOLI RD,MELVILLE,NY,11747-3502,P20Z,NA
113174514,ST JOHNS BREAD & LIFE PROGRAM INC,795 LEXINGTON AVE,BROOKLYN,NY,11221-2903,K300,NA
113223996,MONTAUK FOOD PANTRY,PO BOX 997,MONTAUK,NY,11954-0801,K31,NA
113276746,PEDIATRIC DENTAL FUND OF THE HAMPTONS INC,200 PANTIGO PL STE E,EAST HAMPTON,NY,11937-5921,K30,NA
113341990,JESUS IS J U S T I C E MISSION,8600 SHORE FRONT PARKWAY,ROCKAWAY PARK,NY,11693-1828,K31,NA
113409359,TOP DEVELOPMENT CORPORATION,1274 UTICA AVENUE,BROOKLYN,NY,11203-0000,K30,NA
113417903,MULTIFUNCTIONAL FAMILY SERVICES INC,130 WATERBURY ST,BROOKLYN,NY,11206-1617,K30,NA
113518348,TOMCHE SHABBOS OF BORO PARK AND FLATBUSH INC,4712 FORT HAMILTON PKWY,BROOKLYN,NY,11219-2926,K30,NA
113565335,TOMCHEI SHABBOS-YAD YESHAYA INC,634 OAK DR,FAR ROCKAWAY,NY,11691-5413,K31,NA
113580097,KEREN GIVAS SHAUL INC,CO S FRIEDMAN 1449 46TH STREET,BROOKLYN,NY,11219-0000,K30,NA
113615625,REACHING OUT COMMUNITY SERVICES INC,6417 18TH AVE,BROOKLYN,NY,11204-3753,K30,NA
113635922,CLUB VEG,PO BOX 6786,ITHACA,NY,14851-6786,K99,NA
113638409,FOOD FOR THE HUNGRY INTERNATIONAL INC,C/O RITU304 SIP AVE,JERSEY CITY,NJ,07306-0000,K30,NA
113672837,NOTTINGHAM FOOD PANTRY,PO BOX 209,NOTTINGHAM,NH,03290-0209,K31,NA
113780620,CALVARYS MISSION INC,12418 116TH AVE,S OZONE PARK,NY,11420-2521,K19,NA
113792091,HOLOCAUST SURVIVORS CHARITY INC,2880 WEST 12TH STREET,BROOKLYN,NY,11224-2906,K31,NA
132665561,SALEM COMMUNITY SERVICE COUNCIL INC,211 W 129TH ST,NEW YORK,NY,10027-1902,K31,NA
132722988,AMERICAN ACHIEVEMENT FOUNDATION INC,23 COLEMAN RD,TRENTON,NJ,08690-3901,K30,NA
132831197,MEALS ON WHEELS PROGRAMS & SERVICES OF ROCKLAND INC,121 WEST NYACK ROAD,NANUET,NY,10954-2939,K36Z,NA
